"PC1","PC2","LESIONS","ROI"
-1.60927320542957,0.216646401528832,"Fimbriae.C","Epithelial"
-2.51100743917047,0.0544229672530912,"Fimbriae.C","Epithelial"
-2.52625677652557,0.180690203744684,"Fimbriae.C","Epithelial"
-1.80228404872778,-0.129314299166402,"Inv Cancer","Epithelial"
-2.41059106304806,0.0695916297338471,"Inv Cancer","Epithelial"
-2.05310403201043,-0.527542837148497,"Inv Cancer","Epithelial"
-1.44382176234123,-0.40842671853583,"Inv Cancer","Epithelial"
-1.35438382493212,0.013437858924486,"STIC.C","Epithelial"
0.640553599127854,1.12641209831176,"STIC.C","Epithelial"
0.895393452079369,2.13579316248391,"STIC.C","Stroma"
-0.776776677207718,0.749577845171461,"STIC.C","Epithelial"
-2.23884954509141,-0.171565665393222,"STIC.C","Epithelial"
-2.51149265453491,-0.149282525336301,"STIC.C","Epithelial"
-2.25655023247938,-0.0352589049345914,"STIC.C","Epithelial"
-2.14252378108292,0.0531423342214111,"STIC.C","Epithelial"
-1.5507804806678,-0.00200369187140579,"STIC.C","Epithelial"
-1.82093995546401,-0.591348435586171,"STIC.C","Epithelial"
-1.85877044047362,-0.0866067450717248,"Inv Cancer","Epithelial"
-1.64832895103558,-0.342309731857105,"Inv Cancer","Epithelial"
-2.42699344352315,-0.074775111881376,"Inv Cancer","Epithelial"
-1.50339641268131,-0.685988397342394,"Inv Cancer","Epithelial"
-1.48254561440021,-0.632217542146361,"Inv Cancer","Epithelial"
-1.62725179585549,-0.172089528009771,"Inv Cancer","Epithelial"
-1.864447148587,-0.862850146021716,"STIC.C","Epithelial"
-1.41342557228131,-0.763578696952915,"STIC.C","Epithelial"
2.59110112289731,-2.68021769796157,"STIC.C","Epithelial"
0.762623794534123,-0.277401366264606,"STIC.C","Epithelial"
-0.244213673911902,-3.8274273848716,"STIC.C","Epithelial"
-0.276940211013301,-1.44081658485437,"STIL.C","Epithelial"
-2.27564570303858,-0.127466826982435,"p53 Signature.C","Epithelial"
-1.78248597139203,-0.662845856098625,"STIC.C","Epithelial"
4.86330213911672,0.565575389587768,"Inv Cancer","Stroma"
2.77554576793241,0.994001216652528,"Inv Cancer","Epithelial"
3.70965028892605,-0.204716326049702,"Inv Cancer","Stroma"
-0.649457515471769,-0.378177371180176,"Inv Cancer","Epithelial"
2.02374694885057,0.132888960612642,"Inv Cancer","Epithelial"
-1.39423057100676,0.0350667181164987,"FT.C","Epithelial"
1.33515523691747,2.59557374182536,"FT.C","Epithelial"
0.347237770523258,1.72717754605488,"FT.C","Epithelial"
-1.08275907708396,1.29473375756779,"FT.C","Epithelial"
1.71123025402145,4.62021216209024,"FT.C","Epithelial"
1.29874426103821,4.89558828814635,"FT.C","Epithelial"
3.81425744670637,6.31821779875284,"Fimbriae.C","Epithelial"
-2.07057555704109,0.29735553418265,"Fimbriae.C","Epithelial"
7.30802158130177,2.54413985130547,"Inv Cancer","Stroma"
6.67189909796374,2.4331928532623,"STIC.C","Epithelial"
