"tSNE1","tSNE2","LESIONS","ROI","BRCA"
22.4514996462167,-2.91924909830326,"Incidental p53sig","Stroma","BRCA2"
6.51191246483211,4.33504235542999,"Incidental p53sig","Epithelial","BRCA2"
19.6960932998442,-1.56601299413868,"Incidental p53sig","Stroma","BRCA2"
4.53796845816481,4.93662510995845,"Incidental FT","Epithelial","BRCA1"
18.1400657492301,-0.0652940910551865,"Incidental FT","Stroma","BRCA1"
4.25712251261215,4.48813570932309,"Incidental FT","Epithelial","BRCA1"
17.2664214247352,-6.43444457928248,"Incidental FT","Stroma","BRCA1"
3.49163555368297,3.8930928599676,"Incidental p53sig","Epithelial","BRCA1"
3.82106777304663,4.05203565934544,"Incidental p53sig","Epithelial","BRCA1"
4.07202348910794,3.53742117219974,"Incidental p53sig","Epithelial","BRCA1"
1.72011878560065,1.99998494795853,"Incidental p53sig","Epithelial","BRCA1"
18.67431970355,-6.39092797789346,"Incidental p53sig","Stroma","BRCA1"
12.095110559841,-17.5835320994697,"Incidental p53sig","Epithelial","BRCA1"
3.25331409007241,3.14409329425051,"Incidental FT","Epithelial","BRCA1"
3.52271482896432,3.02862791075473,"Incidental FT","Epithelial","BRCA1"
2.98695340003345,3.96361946247372,"Incidental FT","Epithelial","BRCA1"
3.95489945114858,3.57198964818341,"Incidental FT","Epithelial","BRCA1"
8.1295508732028,1.22022805372869,"Incidental p53sig","Epithelial","BRCA2"
12.4521073857024,-17.0311809009339,"Incidental p53sig","Stroma","BRCA2"
9.29989147603243,1.84070659150747,"Incidental p53sig","Epithelial","BRCA2"
9.86702744245003,2.15357299329249,"Incidental FT","Epithelial","BRCA2"
2.14086163678732,3.06606432159681,"Incidental p53sig","Epithelial","BRCA2"
2.33031157684937,2.65470164765835,"Incidental p53sig","Epithelial","BRCA2"
4.60692617941502,3.95830923008372,"Incidental p53sig","Epithelial","BRCA2"
16.9121983944309,-6.44064401897207,"Incidental p53sig","Stroma","BRCA2"
8.25430044240915,2.77900728506574,"Incidental FT","Epithelial","BRCA2"
20.3383890023033,-7.8565124906469,"Incidental FT","Stroma","BRCA2"
