"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"RPL12",-0.066969791666666,-0.184619047619048,-0.613434104203795,0.539774084729229,0.627887430274527,-6.93115025504185,"Não significativo"
"EXOSC1",0.0641878472222228,0.125914285714286,0.613333510165326,0.539840547932868,0.627925634535852,-6.93121161129705,"Não significativo"
"HELT",-0.0680253472222214,0.00238482142857143,-0.613209545902575,0.539922457656601,0.627981799828891,-6.93128720814334,"Não significativo"
"ATP6V0C",0.0679015624999995,0.0743136904761904,0.612802292473175,0.540191595329616,0.628255708697381,-6.93153545512719,"Não significativo"
"RAMP2",-0.0680383680555548,0.0227776785714286,-0.61263927613681,0.54029934521784,0.628341897299725,-6.93163477782458,"Não significativo"
"IFIT1B",0.0675303819444445,-0.0226422619047619,0.612266197654606,0.540545981673618,0.628548273189948,-6.93186198797841,"Não significativo"
"SERPINF1",-0.0664595486111102,0.12278244047619,-0.612244482229496,0.540560339144575,0.628548273189948,-6.93187520872593,"Não significativo"
"TUBA8",0.0659930555555555,0.0619994047619049,0.612218126691361,0.54057776475077,0.628548273189948,-6.9318912538297,"Não significativo"
"ZRANB1",-0.0654743055555543,0.0408937499999999,-0.611999686426016,0.540722202685407,0.628677077910567,-6.93202421247837,"Não significativo"
"LPAR4",-0.0664124999999993,0.02033125,-0.611820699706536,0.540840567396649,0.628775554140505,-6.93213312149458,"Não significativo"
"DUSP28",-0.066352777777777,-0.0143660714285714,-0.611657158962254,0.540948728958342,0.628862156775486,-6.93223260419116,"Não significativo"
"CCT8",0.0653390624999992,0.0941988095238095,0.611301294497783,0.541184125804557,0.629096652620385,-6.93244898661173,"Não significativo"
"EBAG9",-0.0665092013888876,-0.046633630952381,-0.611080619917571,0.541330123138754,0.629227203750468,-6.9325831039967,"Não significativo"
"DMP1",-0.0680020833333328,0.0389333333333333,-0.610696945372529,0.541584007445897,0.629483135669116,-6.93281617121837,"Não significativo"
"TAF1B",0.0644381944444436,0.0376142857142858,0.610565735717629,0.541670844885241,0.629544733134267,-6.9328958423759,"Não significativo"
"HS3ST1",0.0673060763888882,0.0434386904761906,0.610515010935235,0.541704417529625,0.629544733134267,-6.93292663813327,"Não significativo"
"CDH15",0.0675543402777773,0.017971130952381,0.610175543634489,0.541929123736491,0.629766690145996,-6.93313266790495,"Não significativo"
"C3orf18",-0.0664767361111106,0.0439151785714286,-0.609660664548189,0.542270030530662,0.630086058390935,-6.93344494024926,"Não significativo"
"NPR2",-0.0664135416666664,0.0205797619047619,-0.6096585670415,0.542271419530754,0.630086058390935,-6.93344621184107,"Não significativo"
"PSAPL1",-0.0668218749999988,-0.0472827380952381,-0.609478065544863,0.542390956961863,0.630185748253605,-6.9335556226394,"Não significativo"
"POU6F2",0.0669310763888884,-0.0259178571428571,0.609338968252363,0.542483083366326,0.630253579748251,-6.93363991424042,"Não significativo"
"NKX1-2",0.0663432291666668,0.0229458333333333,0.609192898620868,0.542579836077211,0.630326777285194,-6.93372841032096,"Não significativo"
"NEURL4",-0.0657918402777766,0.0489029761904761,-0.609100749414261,0.542640877739059,0.630358481996045,-6.9337842278846,"Não significativo"
"NKX3-2",-0.0663338541666658,0.0390571428571428,-0.608968458512781,0.542728516137795,0.630392683171778,-6.93386434573993,"Não significativo"
"PDCD7",0.067535416666667,-0.0820354166666667,0.608954408313248,0.542737824350923,0.630392683171778,-6.93387285378347,"Não significativo"
"AGPAT2",0.0664352430555546,0.0201717261904761,0.608626137020926,0.542955325736709,0.630606095316492,-6.93407158136714,"Não significativo"
"TPGS2",0.0656401041666667,0.053597619047619,0.608423791220912,0.543089414846601,0.630722609195993,-6.9341940233413,"Não significativo"
"SLC13A1",0.0681052083333331,-0.0147380952380953,0.608364027916304,0.543129021539207,0.63072938725908,-6.93423017908374,"Não significativo"
"DZIP1",0.0646083333333325,-0.0293127976190476,0.60829729808394,0.543173246833548,0.630741527674097,-6.93427054525957,"Não significativo"
"DNAJC1",0.0655319444444438,0.107391369047619,0.607736095694052,0.543545255624134,0.631102901842219,-6.93460985248247,"Não significativo"
"GJA10",0.0669550347222218,-0.0146044642857143,0.607725876641274,0.543552030788346,0.631102901842219,-6.93461602809885,"Não significativo"
"SLC17A9",0.0658420138888886,-0.0216538690476191,0.607604922067715,0.543632226067281,0.63115677791127,-6.93468911594054,"Não significativo"
"PDE3A",0.0643538194444437,-0.151195833333333,0.607445968319088,0.543737624521908,0.631239906339861,-6.9347851430109,"Não significativo"
"LVRN",-0.0680789930555547,0.0652425595238095,-0.607290265400389,0.543840877303933,0.631320533619588,-6.93487918185606,"Não significativo"
"ABCB5",-0.0671640624999996,0.0505336309523809,-0.606829652175831,0.544146385412313,0.631598251186652,-6.93515723432178,"Não significativo"
"NISCH",-0.0648124999999998,0.0466211309523809,-0.606827600482283,0.544147746417756,0.631598251186652,-6.93515847236975,"Não significativo"
"MCCD1",0.0637234374999997,0.0292699404761905,0.606266243888502,0.544520189986927,0.63199127444605,-6.93549705318908,"Não significativo"
"FMO1",0.0663248263888892,0.0374681547619047,0.605960705736032,0.544722958882542,0.632187330084461,-6.9356812061948,"Não significativo"
"PHLPP1",0.0656227430555547,0.060204761904762,0.605655762943505,0.544925370137098,0.632382946318539,-6.93586490789824,"Não significativo"
"KRTAP4-3",-0.0664769097222215,0.0587583333333334,-0.605514902445535,0.545018881457077,0.632452168311515,-6.9359497329946,"Não significativo"
"DPEP1",-0.0679960069444435,-0.0235208333333334,-0.605447930665,0.545063343986375,0.632464467919578,-6.93599005596622,"Não significativo"
"RENBP",-0.0657701388888875,0.0504669642857143,-0.605202829242803,0.545226082074548,0.632613998565344,-6.93613759084067,"Não significativo"
"ADAMTSL2",0.0663524305555548,0.0197377976190476,0.605126529935596,0.545276746864899,0.632633482494454,-6.93618350580549,"Não significativo"
"RTL1",-0.0679060763888885,0.0448395833333333,-0.604931272409437,0.545406413771062,0.632744617057092,-6.93630098043597,"Não significativo"
"TMPRSS11F",-0.0680984374999996,-0.000861607142857174,-0.60450699069167,0.545688224242008,0.633032233799254,-6.93655611448902,"Não significativo"
"OR52B4",-0.0659607638888885,0.0147008928571428,-0.604362085448956,0.545784487752345,0.633104582184371,-6.9366432096389,"Não significativo"
"CNTNAP5",-0.0648501736111103,0.0155440476190476,-0.603501470155307,0.54635638588567,0.633728618754606,-6.93716005175164,"Não significativo"
"XIAP",-0.0656262152777775,0.00334375000000001,-0.603226820726853,0.546538959184637,0.633848087654296,-6.9373248374613,"Não significativo"
"CYP2C19",0.0650288194444441,0.0354622023809524,0.603220897905758,0.546542896715454,0.633848087654296,-6.93732839024342,"Não significativo"
"HAVCR1",-0.0660296874999997,0.0511458333333333,-0.603193372943948,0.546561195677702,0.633848087654296,-6.9373449005316,"Não significativo"
"SWSAP1",-0.066110243055554,-0.0428074404761904,-0.602529767947714,0.547002461159612,0.634285519738854,-6.93774272266916,"Não significativo"
"EIF5",0.0673086805555547,-0.101433630952381,0.60250548757082,0.547018609795368,0.634285519738854,-6.93775727012734,"Não significativo"
"CD55",0.0644473958333325,-0.0427,0.602472918452417,0.547040271561464,0.634285519738854,-6.93777678282118,"Não significativo"
"USPL1",-0.0624972222222213,0.0676779761904761,-0.602278649094013,0.547169489218952,0.634395961893498,-6.93789315089567,"Não significativo"
"DRD4",-0.064527083333333,-0.0133815476190476,-0.602199448428675,0.54722217363677,0.634417662136185,-6.93794058163274,"Não significativo"
"INHA",-0.0653586805555554,0.0190047619047619,-0.602041472839315,0.547327266779413,0.63450011555081,-6.9380351695332,"Não significativo"
"GPR1",0.0655210069444448,0.0278851190476191,0.601933342050857,0.547399206472945,0.634544127314746,-6.93809989856104,"Não significativo"
"LAPTM4A",-0.0653090277777772,0.1341625,-0.601768757200289,0.54750871419534,0.634631679701258,-6.93819839970697,"Não significativo"
"FANCC",0.0646730902777773,-0.0202032738095238,0.601593373004687,0.547625419287501,0.63472756336308,-6.93830333445436,"Não significativo"
"ANKRD6",0.0637414930555553,-0.0312306547619047,0.601490105580137,0.547694141816032,0.634758384595358,-6.9383651064642,"Não significativo"
"LMBRD2",-0.064162499999999,0.0257434523809523,-0.601409946355597,0.547747489217462,0.634758384595358,-6.93841304841904,"Não significativo"
"ASB17",-0.0669656249999989,0.0162973214285714,-0.601400209725028,0.547753969295036,0.634758384595358,-6.93841887130781,"Não significativo"
"GRAMD1A",0.0656897569444446,-0.0610696428571428,0.600632065817761,0.548265316321917,0.635311534492148,-6.93887795483304,"Não significativo"
"INPP5F",-0.0636519097222217,0.0950690476190476,-0.6003670347884,0.548441800090516,0.63547661147035,-6.93903621541318,"Não significativo"
"SPCS3",0.0635086805555548,-0.00209761904761902,0.600223747949709,0.548537226289788,0.635547752817269,-6.93912174862801,"Não significativo"
"CHMP6",-0.0657192708333322,0.00528511904761895,-0.600164156179869,0.548576915647939,0.635554311367568,-6.93915731515464,"Não significativo"
"NATD1",0.0634611111111103,0.0546997023809524,0.60009546331593,0.548622668286791,0.635567893288202,-6.93919830916663,"Não significativo"
"DYTN",-0.0671493055555545,0.0103675595238095,-0.599942472923581,0.548724573779552,0.635646521396806,-6.9392895927784,"Não significativo"
"TCAIM",-0.064993055555554,0.0711770833333332,-0.599604369914238,0.54894981428699,0.63586800306612,-6.93949124364862,"Não significativo"
"BIN2",0.0652661458333331,-0.0253095238095238,0.599525170371638,0.549002582759301,0.635889689190417,-6.9395384632996,"Não significativo"
"SCAF11",0.0621996527777771,-0.0587607142857143,0.599055618402415,0.549315483794407,0.636212656010675,-6.93981828743195,"Não significativo"
"DSG3",-0.0655496527777778,0.0269354166666666,-0.598689475799797,0.549559535813884,0.636440199866694,-6.94003633394303,"Não significativo"
"SYT9",-0.0652562499999989,0.0547601190476189,-0.59865862648443,0.549580100843285,0.636440199866694,-6.94005469935081,"Não significativo"
"C19orf81",0.0656197916666662,0.0421821428571429,0.598390011495868,0.549759183283988,0.63660811372032,-6.94021457295187,"Não significativo"
"BMPER",0.0662236111111104,0.0222690476190476,0.597866115591066,0.55010854138483,0.636973169711374,-6.94052617777523,"Não significativo"
"HTR4",-0.0650348958333331,0.040952380952381,-0.59725423170438,0.550516712626387,0.637406276221129,-6.94088977121822,"Não significativo"
"ZCWPW2",-0.0649078124999997,0.00945059523809526,-0.596675578506119,0.550902853950062,0.637813823656416,-6.94123327612939,"Não significativo"
"TFAP2D",-0.0653770833333322,0.0389979166666667,-0.596243434378279,0.551191315296271,0.638108237512456,-6.94148959213246,"Não significativo"
"GLI2",0.0656800347222224,0.0556699404761904,0.595978742743961,0.551368036854104,0.638273262943108,-6.94164649605394,"Não significativo"
"GDPD2",-0.0653274305555546,0.0551598214285716,-0.595772072299373,0.551506039923154,0.638389050439086,-6.94176895778108,"Não significativo"
"SPRED3",-0.0647479166666661,-0.0302782738095238,-0.595726579042771,0.551536420082727,0.638389050439086,-6.94179590892583,"Não significativo"
"CFAP97",-0.062137152777777,-0.0418333333333335,-0.594770188708495,0.552175283259795,0.639088911535179,-6.94236201834363,"Não significativo"
"CREBL2",0.0647404513888888,0.0703505952380952,0.594699981615718,0.552222195527774,0.639103603040788,-6.94240353973314,"Não significativo"
"CEP164",-0.0607307291666662,0.0234178571428571,-0.594023462489734,0.552674344972632,0.6395872570205,-6.94280339102027,"Não significativo"
"SPATC1",-0.0663272569444441,0.110404761904762,-0.593870939240502,0.552776308542046,0.639665620485737,-6.94289347587045,"Não significativo"
"RFPL1",0.0656296874999996,0.0106139880952381,0.593334970675555,0.553134683079327,0.640040671325977,-6.94320985183446,"Não significativo"
"MUC22",0.0652614583333335,0.027732738095238,0.593165784391945,0.553247832914367,0.640115801272939,-6.94330966125271,"Não significativo"
"RTN2",0.0666246527777769,0.0214315476190477,0.59313539585078,0.5532681576243,0.640115801272939,-6.94332758559542,"Não significativo"
"TDRD7",0.0649680555555551,0.0154288690476192,0.592891078635831,0.553431577163455,0.640265211018449,-6.94347166004538,"Não significativo"
"MEIS3",-0.0658701388888882,0.0580970238095238,-0.592678241821685,0.553573959320979,0.6403902656078,-6.94359712209449,"Não significativo"
"TMEM150A",-0.0644600694444437,-0.0088038690476191,-0.592465048539292,0.553716597968627,0.640515601403447,-6.9437227491553,"Não significativo"
"BTG3",0.0652218749999992,-0.0275258928571429,0.591463570980915,0.554386885683056,0.641233627311386,-6.94431227924675,"Não significativo"
"ERFL",0.0635010416666663,-0.00896130952380956,0.591435040817346,0.554405986712227,0.641233627311386,-6.94432905922424,"Não significativo"
"ABITRAM",-0.0634803819444439,-0.0592116071428571,-0.591379430394098,0.554443218982792,0.641236980676302,-6.94436176409578,"Não significativo"
"TDP1",-0.0637703124999994,-0.0516306547619048,-0.591200464542896,0.554563048453023,0.641335854858026,-6.94446699428719,"Não significativo"
"DBNL",0.0639565972222221,0.0157651785714285,0.590777743442458,0.554846138561837,0.641623511232705,-6.94471542386452,"Não significativo"
"LUC7L2",-0.0639524305555554,0.0201178571428571,-0.590680704760989,0.554911133929098,0.641658943065488,-6.94477242761383,"Não significativo"
"AMBN",0.0645354166666665,0.0615413690476192,0.590467491291031,0.555053954899559,0.641767051913847,-6.94489764343829,"Não significativo"
"MARCHF4",-0.064467534722221,-0.0230252976190476,-0.590438539061537,0.55507334992859,0.641767051913847,-6.94491464299611,"Não significativo"
"BEST1",-0.0660124999999987,0.0277485119047619,-0.590268098249247,0.555187534546107,0.641859336596574,-6.94501470194554,"Não significativo"
"C19orf54",0.0644199652777776,-0.0588065476190476,0.589980070932776,0.555380520853165,0.642042707846903,-6.94518372560852,"Não significativo"
"PDLIM1",-0.0660012152777778,-0.00541904761904763,-0.589727365755916,0.555549867379219,0.642198729531576,-6.94533195322883,"Não significativo"
"OR2C3",0.0652289930555554,0.0124943452380952,0.58938226574846,0.55578117169591,0.642426348790971,-6.9455342737988,"Não significativo"
"RHAG",0.0642479166666667,0.0397785714285715,0.589309705886079,0.555829811153865,0.642442810998252,-6.94557679816032,"Não significativo"
"ZBTB17",0.062330555555555,0.0355485119047619,0.589251689902757,0.555868702829736,0.642448005120729,-6.94561079518734,"Não significativo"
"RXFP1",0.064475694444444,0.0647699404761907,0.589098882366864,0.555971145471729,0.642526643399262,-6.94570032350681,"Não significativo"
"OR51A2",-0.0644368055555549,-0.0112136904761904,-0.588706404050167,0.556234306437375,0.642790999958598,-6.9459301660913,"Não significativo"
"ZC3H7A",0.0645506944444431,-0.0195791666666666,0.588553573430549,0.556336797490585,0.642869663226608,-6.94601962513848,"Não significativo"
"APRT",0.0637217013888882,-0.124308928571428,0.588192618647217,0.556578897104307,0.643109630117368,-6.9462308170556,"Não significativo"
"NGF",0.0642239583333332,0.0123068452380954,0.587851303680998,0.556807871226417,0.64329584906567,-6.94643039879467,"Não significativo"
"MAPK9",0.0613923611111116,0.140375595238095,0.587831090121293,0.556821433111783,0.64329584906567,-6.94644221491399,"Não significativo"
"OR5W2",-0.0651267361111103,0.0559979166666666,-0.587798364840113,0.556843389829452,0.64329584906567,-6.9464613440747,"Não significativo"
"OR10H4",0.0643439236111105,-0.00359851190476195,0.587641842578346,0.5569484128054,0.643377381615936,-6.94655282252334,"Não significativo"
"C1QTNF6",0.0653956597222217,0.0300574404761905,0.587172075530282,0.55726367415406,0.643701752871259,-6.94682722876128,"Não significativo"
"CCDC185",0.0643170138888879,0.0209425595238095,0.587118042865238,0.557299941136853,0.643703834298887,-6.94685877694198,"Não significativo"
"ANGPTL8",-0.0637524305555549,0.0092744047619047,-0.586983426741361,0.557390301130104,0.64376839120691,-6.94693736296336,"Não significativo"
"ZNF322",0.0621756944444449,0.0757779761904763,0.586845682158187,0.5574827684741,0.643801019182166,-6.94701775667608,"Não significativo"
"RNF111",0.0638677083333329,0.00900416666666669,0.58683864641304,0.557487491740278,0.643801019182166,-6.94702186253601,"Não significativo"
"NAA30",0.0640513888888872,0.0429755952380953,0.586693861012172,0.557584694021167,0.643873459270022,-6.94710634424287,"Não significativo"
"OR10G2",-0.0649809027777767,0.00725833333333335,-0.586557501990101,0.557676246774506,0.64393936698655,-6.94718589014712,"Não significativo"
"MMP21",0.0634930555555553,-0.00501994047619049,0.586338954943015,0.557822996641444,0.644049465802105,-6.94731334242896,"Não significativo"
"CISD3",0.0617309027777775,0.00467797619047621,0.586312795098237,0.557840563702985,0.644049465802105,-6.94732859514897,"Não significativo"
"OR13G1",-0.0639894097222213,0.0322035714285713,-0.586260614521127,0.557875605213642,0.644050109937891,-6.94735901744775,"Não significativo"
"AFM",0.0651935763888888,0.01144375,0.585835390755025,0.558161201324477,0.644300612641757,-6.94760683039059,"Não significativo"
