"SAMPLE_ID","UMAP1","UMAP2","LESIONS_TYPES","ROI_TYPES"
"LSP16148_Scan1-006-Full-ROI",0.46008958419164,-0.333063686887423,"Inv Cancer","Epithelial"
"LSP16148_Scan1-007-Full-ROI",0.246572395165761,-0.293371285001437,"Inv Cancer","Epithelial"
"LSP16148_Scan1-008-Full-ROI",0.168937106927236,-0.311005676786105,"Inv Cancer","Epithelial"
"LSP16148_Scan1-009-Full-ROI",0.221276660760243,-0.310827339688937,"Inv Cancer","Epithelial"
"LSP16151_Scan1-001-Full-ROI",2.85979070266088,0.23741761346658,"STIC.C","Epithelial"
"LSP16151_Scan1-002-Full-ROI",2.81590070327123,0.205117141207059,"STIC.C","Epithelial"
"LSP16151_Scan1-003-Full-ROI",-0.536892513434092,1.13636532922586,"STIC.C","Epithelial"
"LSP16151_Scan1-004-Full-ROI",2.62056722243627,-0.174785698453586,"STIC.C","Epithelial"
"LSP16151_Scan1-005-Full-ROI",2.81063975890477,0.122908030947049,"STIC.C","Epithelial"
"LSP16151_Scan1-006-Full-ROI",0.109584232171376,-2.19612368444602,"STIL.C","Epithelial"
"LSP16151_Scan1-007-Full-ROI",1.51498117049535,2.23365846772989,"p53 Signature.C","Epithelial"
"LSP16151_Scan1-008-Full-ROI",2.87547292311986,0.216799651583035,"STIC.C","Epithelial"
"LSP16154_Scan2-001-PanCK-",-2.0284524957339,-0.0475378880898161,"Inv Cancer","Stroma"
"LSP16154_Scan2-001-PanCK+",-1.4984584848086,0.569725429018338,"Inv Cancer","Epithelial"
"LSP16154_Scan2-002-PanCK-",-1.52914486328761,-0.264768208066623,"Inv Cancer","Stroma"
"LSP16154_Scan2-002-PanCK+",1.0470942457517,-1.49873312811057,"Inv Cancer","Epithelial"
"LSP16154_Scan2-003-Full-ROI",0.394649883111318,-2.20779141287009,"Inv Cancer","Epithelial"
"LSP16154_Scan2-004-Full-ROI",-0.0723138848940534,-1.84565504888694,"FT.C","Epithelial"
"LSP16154_Scan2-005-Full-ROI",-0.603193859259288,-1.33750590185324,"FT.C","Epithelial"
"LSP16154_Scan2-006-Full-ROI",-0.167239765326182,-1.9302798161904,"FT.C","Epithelial"
"LSP16154_Scan2-007-Full-ROI",-0.505022625128428,-1.90601691106955,"FT.C","Epithelial"
"LSP16154_Scan2-008-Full-ROI",-1.31135139862696,-0.372453297177951,"FT.C","Epithelial"
"LSP16154_Scan2-009-Full-ROI",-0.900765041510264,-1.57705029348532,"FT.C","Epithelial"
"LSP16154_Scan2-011-Full-ROI",-0.492249111334483,-1.37817438940207,"Fimbriae.C","Epithelial"
"LSP16154_Scan2-012-Full-ROI",-1.18895492951075,-0.115646923581759,"Fimbriae.C","Epithelial"
"LSP16154_Scan2-013-Full-ROI",-2.16217480103175,0.220958148439725,"Inv Cancer","Stroma"
"LSP16157_Scan1-001-Full-ROI",2.90896453460058,-1.65045508245627,"STIC.C","Epithelial"
"LSP16157_Scan1-002-Full-ROI",-1.19218120972315,1.38519469400247,"STIC.C","Stroma"
"LSP16157_Scan1-003-Full-ROI",2.79906262954076,-1.60491856435935,"STIC.C","Epithelial"
"LSP16157_Scan1-004-Full-ROI",-0.617161373297374,0.645659839113553,"STIC.C","Stroma"
"LSP16157_Scan1-005-Full-ROI",3.07234897216161,-1.5765839467446,"STIC.C","Epithelial"
"LSP16157_Scan1-006-Full-ROI",2.60638894637426,-1.64411696294944,"STIC.C","Epithelial"
"LSP16157_Scan1-007-Full-ROI",-0.731332401434581,-0.227655018369357,"STIC.C","Stroma"
"LSP16157_Scan1-008-Full-ROI",2.16765155394872,-1.44773396352927,"STIC.C","Epithelial"
"LSP16157_Scan1-009-Full-ROI",-1.4472528497378,1.23000088830789,"STIC.C","Stroma"
"LSP16157_Scan1-010-Full-ROI",0.639318843682607,0.969170485933621,"STIC.C","Stroma"
"LSP16157_Scan1-011-Full-ROI",2.79173078139623,-1.59717234472434,"STIC.C","Epithelial"
"LSP16157_Scan1-013-Full-ROI",2.43203391631444,-1.66325434545676,"STIC.C","Epithelial"
"LSP16157_Scan1-014-Full-ROI",-2.85104999939601,-0.499845112363498,"STIC.C","Stroma"
"LSP16157_Scan1-015-Full-ROI",2.51589526732763,-1.65045603613059,"STIC.C","Epithelial"
