Raman Shift (cm⁻¹),Importância
3088.0,3.203270741049136e-05
850.0,3.2018369578889076e-05
1007.0,3.1998893432410256e-05
670.0,3.1993361129640044e-05
646.0,3.194761021257422e-05
346.0,3.1922191522867326e-05
1084.0,3.19123527673658e-05
3090.0,3.1807947261286055e-05
931.0,3.180691541719214e-05
922.0,3.179343042682365e-05
1034.0,3.1787765752325846e-05
628.0,3.17611350191563e-05
627.0,3.173906023352866e-05
683.0,3.1733588363687146e-05
629.0,3.169987694028887e-05
647.0,3.166597620502365e-05
2796.0,3.165328418014053e-05
743.0,3.1644335497701375e-05
1430.0,3.1627949071920046e-05
2982.0,3.1623989131439467e-05
684.0,3.161367958016292e-05
630.0,3.160922077818222e-05
153.0,3.160120086477575e-05
957.0,3.158805874737236e-05
626.0,3.156848112821191e-05
1274.0,3.1525373917937703e-05
631.0,3.151989840556592e-05
1127.0,3.150414421107438e-05
792.0,3.148366739994409e-05
632.0,3.144368745471444e-05
857.0,3.144279484195538e-05
456.0,3.143293374766572e-05
625.0,3.14080841703226e-05
1257.0,3.1402661616470914e-05
633.0,3.1382179166488915e-05
484.0,3.138214748314993e-05
2768.0,3.137340434808441e-05
949.0,3.13694989454633e-05
634.0,3.133295955856245e-05
1362.0,3.13230164785855e-05
872.0,3.130559733251979e-05
635.0,3.129199305081227e-05
636.0,3.1253389295589085e-05
637.0,3.120793212283428e-05
645.0,3.119671039140815e-05
638.0,3.1141162974164036e-05
624.0,3.107950700759276e-05
818.0,3.106255551362914e-05
819.0,3.103782563029418e-05
639.0,3.103088706318111e-05
3064.0,3.101822450518735e-05
157.0,3.099890306987226e-05
817.0,3.097876624032379e-05
3055.0,3.091912651196015e-05
820.0,3.0901300588946205e-05
640.0,3.084279100226331e-05
816.0,3.081769734555308e-05
858.0,3.078380002367056e-05
3061.0,3.073811572103355e-05
152.0,3.068146473437645e-05
1431.0,3.067684761756454e-05
821.0,3.0674532578207085e-05
815.0,3.062804418279087e-05
623.0,3.054367065436494e-05
641.0,3.052171495396091e-05
1152.0,3.050673623211308e-05
814.0,3.0455478597751913e-05
1083.0,3.0436866526289543e-05
651.0,3.0430299223925868e-05
2795.0,3.04075921036352e-05
1006.0,3.0406548343009677e-05
822.0,3.03918496537745e-05
849.0,3.0384746039227393e-05
1337.0,3.0359477372026425e-05
3121.0,3.0348277892490152e-05
810.0,3.0342212536582784e-05
813.0,3.032589914214362e-05
859.0,3.0316235035015057e-05
455.0,3.0281682402202698e-05
811.0,3.0250063214882097e-05
812.0,3.024985098307864e-05
744.0,3.0171763847616824e-05
890.0,3.0171502351598592e-05
485.0,3.016929780198255e-05
164.0,3.015078357373045e-05
3072.0,3.0122916952599646e-05
823.0,3.008697886981633e-05
644.0,3.0029818789161384e-05
871.0,3.0020935365014075e-05
958.0,2.9995330108949097e-05
553.0,2.997945712352754e-05
642.0,2.997594810402392e-05
860.0,2.996720839658525e-05
648.0,2.9966090092202765e-05
554.0,2.9958242864675057e-05
1432.0,2.993752122605507e-05
809.0,2.9911432963555577e-05
3122.0,2.9881567562646512e-05
2838.0,2.984684447874451e-05
552.0,2.982043426726709e-05
622.0,2.978570770342928e-05
824.0,2.9783985010309608e-05
1363.0,2.9764776445664225e-05
555.0,2.976184779591917e-05
2920.0,2.973676741223434e-05
861.0,2.9676975901221723e-05
1411.0,2.9598833089313674e-05
2944.0,2.9586457022333583e-05
151.0,2.956738038864145e-05
274.0,2.953388349711257e-05
669.0,2.9532028263130945e-05
825.0,2.9494658315438457e-05
932.0,2.949234325850277e-05
347.0,2.948693876333055e-05
551.0,2.9467927411949053e-05
3120.0,2.946782334848151e-05
665.0,2.9431314659644874e-05
862.0,2.9410582520942037e-05
556.0,2.9396536912979816e-05
3054.0,2.9387542266378456e-05
3186.0,2.935001308744734e-05
454.0,2.9266689704243794e-05
826.0,2.9220045976163274e-05
870.0,2.9217964972865775e-05
948.0,2.920659312849216e-05
863.0,2.9156507079423627e-05
1005.0,2.9118109215822328e-05
2632.0,2.9112710575059708e-05
1126.0,2.910617205962787e-05
2921.0,2.9081169834210268e-05
2633.0,2.9079146723044176e-05
3306.0,2.9060910753113764e-05
643.0,2.9054091564628197e-05
1082.0,2.902810010768995e-05
3123.0,2.898864496281149e-05
1433.0,2.8979772600343153e-05
827.0,2.895065908926829e-05
808.0,2.8949274898331546e-05
