,count,mean,std,min,25%,50%,75%,max,var
197.0,1225.0,-0.03336618299264879,0.8321463363531392,-0.5053888192922065,-0.35181688689229174,-0.28348756213093756,-0.20824764354232006,2.855869300537152,0.6924675251059518
198.0,1225.0,-0.030267859894897393,0.8430122049703465,-0.512495943630151,-0.35327280071241635,-0.283984670500874,-0.21014494965213093,2.898368558684439,0.7106695777289654
199.0,1225.0,-0.026867201573008575,0.8526674579941128,-0.5268127760683298,-0.3543038661378108,-0.2841000012346577,-0.20506769180053883,2.9417010234321284,0.7270417939221421
200.0,1225.0,-0.0232481562338474,0.8609606790402723,-0.535605007625626,-0.35573374956156906,-0.2834834108570877,-0.19878797067700707,2.982450062296341,0.7412532908534868
201.0,1225.0,-0.01970249251414889,0.867808671720727,-0.5367407007265382,-0.35598404761260694,-0.28119155809013546,-0.1932815421302124,3.011526539225978,0.7530918907136924
202.0,1225.0,-0.01659941578607215,0.8732118259875808,-0.5327191871816658,-0.3548524303807346,-0.28196627418708287,-0.19099881588283205,3.0284445158091047,0.7624988930445652
203.0,1225.0,-0.014237477978983257,0.8772466405921558,-0.525583437782869,-0.3551990828197076,-0.2832467959416412,-0.19133725945012658,3.035234294393984,0.7695616684302231
204.0,1225.0,-0.0127478571274595,0.8800355979032105,-0.522430681686555,-0.35550904978660375,-0.2841212749673759,-0.19284254509594193,3.0357443071802828,0.7744626535768613
205.0,1225.0,-0.012082662494994928,0.881705502392611,-0.5104692043931117,-0.35596018596155454,-0.28551599030802827,-0.19423773189075616,3.034207160711658,0.7774045929494067
206.0,1225.0,-0.01207911850383402,0.8823520454482018,-0.5046244437055926,-0.3562883247476104,-0.2873490012253882,-0.19373763079330722,3.0336908206378124,0.7785451321066256
207.0,1225.0,-0.012554943338428246,0.882020456730364,-0.5095299476981411,-0.356823209571395,-0.28802833962557994,-0.19016233242375258,3.0351082548713113,0.7779600860908399
208.0,1225.0,-0.013381379763594181,0.8806994064724263,-0.5103722165286724,-0.35678189257023724,-0.28917369209469984,-0.18548916400171298,3.0371408319072875,0.7756314445608838
209.0,1225.0,-0.014503457194083745,0.8783255210284384,-0.527111179222599,-0.3568246580503497,-0.2897691628246111,-0.1809409371739732,3.0369887759941636,0.7714557208898778
