"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"C9orf116",-1.01928489583332,0.122465178571429,-9.77761719555273,2.43356151243786e-21,7.36655240969238e-20,37.6416887054117,"Down-regulado"
"TNFRSF21",1.00598975694443,-0.126961011904762,9.77514301701171,2.48692281483373e-21,7.5158992577103e-20,37.6203452627395,"Up-regulado"
"PDIA6",1.02404895833332,-0.0213145833333331,9.76727579301294,2.6644240201915e-21,8.03932914783792e-20,37.5525066171685,"Up-regulado"
"DNAI3",-1.01664131944444,0.116193452380952,-9.76488578490035,2.72079368391176e-21,8.19617155393871e-20,37.5319060791721,"Down-regulado"
"DNAJA4",-1.02697274305555,0.0969505952380952,-9.76177852289225,2.79585088119238e-21,8.4087128676377e-20,37.5051290479096,"Down-regulado"
"TNC",1.05170121527777,0.0974244047619053,9.75910742254818,2.86201031717777e-21,8.59385316622655e-20,37.4821159420492,"Up-regulado"
"SSBP2",-1.01023385416666,0.065870238095238,-9.74702184953374,3.18127940629138e-21,9.52191594091413e-20,37.3780525661572,"Down-regulado"
"PPIL6",-1.01036510416666,0.167480654761905,-9.74206107897521,3.32232804512329e-21,9.92817934380282e-20,37.3353665488369,"Down-regulado"
"METTL7A",-1.00935295138888,0.0729967261904763,-9.73862248823538,3.42371658866064e-21,1.02148170489481e-19,37.3057883388251,"Down-regulado"
"NUCKS1",1.05219270833332,-0.0610467261904762,9.73123728593398,3.65195491115147e-21,1.08550673882395e-19,37.2422893702432,"Up-regulado"
"GNG5",1.04605190972221,-0.0542821428571428,9.72315277099656,3.91911955119748e-21,1.16186342631294e-19,37.1728204529502,"Up-regulado"
"LRP11",-1.00456249999999,0.124619047619048,-9.72219279617488,3.95210287374719e-21,1.16978487120406e-19,37.164574521062,"Down-regulado"
"IGF2R",1.03424253472221,0.0454514880952385,9.71991396487585,4.03150593129969e-21,1.18951716080386e-19,37.1450024877392,"Up-regulado"
"CLSTN3",1.00383593749999,-0.114180952380952,9.71187639838021,4.3243965617682e-21,1.26991752490794e-19,37.0759992510219,"Up-regulado"
"KIFC1",1.01121701388888,-0.00314940476190477,9.70863086948051,4.4485550967987e-21,1.30432752814614e-19,37.0481486505638,"Up-regulado"
"ZNF611",-1.00864513888888,0.133392261904762,-9.70448089266176,4.61247237089043e-21,1.35026875346584e-19,37.0125473128217,"Down-regulado"
"CATIP",-1.02341909722221,0.101890773809524,-9.70054903164346,4.77329130085172e-21,1.39298065040637e-19,36.9788280271628,"Down-regulado"
"PLSCR3",1.01541753472221,-0.083097619047619,9.69840417547806,4.8633488124053e-21,1.4170478279141e-19,36.9604384083131,"Up-regulado"
"FHL2",1.00286458333332,-0.15087380952381,9.6947183320857,5.02205867177335e-21,1.45874012150406e-19,36.9288440158832,"Up-regulado"
"ROMO1",1.02726805555555,-0.0899505952380952,9.6939297330968,5.05667605963803e-21,1.46651457710962e-19,36.9220854977442,"Up-regulado"
"NOSTRIN",-1.00617118055555,0.152336904761905,-9.69307751955569,5.0943518483272e-21,1.47515053443732e-19,36.914782265046,"Down-regulado"
"GSTA1",-1.0007876736111,0.0811550595238093,-9.68473444924327,5.47820453009598e-21,1.58384560384834e-19,36.8433108329823,"Down-regulado"
"VWA7",-1.01054270833332,0.0532946428571429,-9.68364372422965,5.53046048854403e-21,1.59648238863272e-19,36.8339706051842,"Down-regulado"
"MRPL33",1.00587447916666,-0.153904166666667,9.67062588305203,6.19359560269063e-21,1.78240038630898e-19,36.7225578112783,"Up-regulado"
"ODF3B",-1.00614131944444,0.102220535714286,-9.66405578785912,6.55761121439119e-21,1.87847399771755e-19,36.6663721272921,"Down-regulado"
"IFI44L",1.02162708333332,-0.0472494047619049,9.66154757618463,6.70210238391876e-21,1.91692444447857e-19,36.6449304146853,"Up-regulado"
"CIP2A",1.00651597222222,0.00459107142857131,9.66057429427213,6.75901623174136e-21,1.930246883184e-19,36.636611378042,"Up-regulado"
"H3C1",1.02206562499999,-0.0189833333333334,9.65904515990589,6.84940301774408e-21,1.95307328492223e-19,36.6235425618852,"Up-regulado"
"SPARC",1.02068628472221,0.106525,9.65434970692568,7.13450319486698e-21,2.02817528417855e-19,36.583422726289,"Up-regulado"
"ALDOA",1.03958072916666,0.0121955357142855,9.64939391071001,7.44817128768482e-21,2.11091798391638e-19,36.5410948910605,"Up-regulado"
"DTHD1",-1.00755850694443,0.129138690476191,-9.6487065532886,7.49274190892079e-21,2.12033243383202e-19,36.5352254552856,"Down-regulado"
"GDI2",1.03471545138888,-0.0321249999999999,9.64454080323623,7.76857417925144e-21,2.19174712909183e-19,36.4996605338836,"Up-regulado"
"NCBP2",1.00634045138888,-0.149491964285714,9.6298804404908,8.82174761734232e-21,2.47022159294007e-19,36.3745934611479,"Up-regulado"
"HMCN1",1.02331440972221,-0.0127642857142859,9.62912977001814,8.87932713095421e-21,2.48262264707832e-19,36.368193507383,"Up-regulado"
"WDR77",-1.01530243055555,0.0250380952380953,-9.62528456876867,9.18016050545829e-21,2.56289772437137e-19,36.335416767197,"Down-regulado"
"ISM1",1.02380312499999,0.0171467261904763,9.62133309296144,9.49983016918078e-21,2.64818400104163e-19,36.3017447727394,"Up-regulado"
"BEST4",-1.01434600694444,0.144854761904762,-9.5951064596759,1.19196467048823e-20,3.30792335077395e-19,36.0785313736914,"Down-regulado"
"CXXC5",1.02995138888888,-0.136619345238095,9.59446421718189,1.19859941791654e-20,3.31648019680403e-19,36.0730712515447,"Up-regulado"
"IGSF9B",-1.00511284722221,0.0869383928571427,-9.59024625165184,1.2430920373328e-20,3.43450147651844e-19,36.0372186715504,"Down-regulado"
"CT47B1",1.00573472222221,-0.117654166666667,9.57427188235511,1.42693418383691e-20,3.91924261051795e-19,35.9015487053687,"Up-regulado"
"ECE1",1.00624722222221,0.016082142857143,9.57350131739557,1.43645319459201e-20,3.93959417259839e-19,35.8950087844003,"Up-regulado"
"TSGA10",-1.00577465277777,0.119667261904762,-9.55974141893408,1.61742472016061e-20,4.42293433359293e-19,35.7782954155529,"Down-regulado"
"SEPTIN5",-1.00594895833332,0.117944642857143,-9.54189135418849,1.88621218240211e-20,5.14288831105462e-19,35.627084474833,"Down-regulado"
"C1orf189",-1.00368958333332,0.140068154761905,-9.53903109037303,1.93321532639893e-20,5.2557005314633e-19,35.6028752649193,"Down-regulado"
"TET3",1.00043177083332,-0.213858630952381,9.53774118746521,1.95479037313463e-20,5.30663078474354e-19,35.5919594152906,"Up-regulado"
"INSR",-1.0020595486111,0.0847964285714285,-9.52945085596283,2.09926210724519e-20,5.67408370144984e-19,35.5218297940073,"Down-regulado"
"PKM",1.02689114583332,0.024407142857143,9.52497241486109,2.1816556740313e-20,5.87129438384476e-19,35.4839656219204,"Up-regulado"
"GDA",-1.01175659722221,0.153499404761905,-9.50280991141994,2.63899073489815e-20,7.04120427938467e-19,35.2967923135816,"Down-regulado"
"FCGR3A",1.02569097222221,0.0451818452380948,9.50111858669505,2.67756085854888e-20,7.13392355993117e-19,35.2825222894761,"Up-regulado"
